NAME,RATING,AREA,DISHES,APPROX,DISC
Oia,4.1,"Hennur, North Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
MisoSexy,4.4,"Indiranagar, East Bengaluru","Pan Asian, Asian",₹ 2000 for two approx.,25% Off
1522 The Pub,4.4,"Sahakara Nagar, North Bengaluru  | View All(8) Outlets",Multicuisine,₹ 2000 for two approx.,25% Off
Garden by su,4.3,"Jayanagar, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Yuki - Pan Asian Kitchen and Bar,4.5,"JP Nagar, South Bengaluru",Pan Asian,₹ 2000 for two approx.,25% Off
Byg Brewski - Sarjapur,4.5,"Sarjapur Road, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Peepai Kitchen & Brewery,4.2,"Hebbal, North Bengaluru",Multicuisine,₹ 2500 for two approx.,25% Off
Koreyaki ,4.3,"Indiranagar, East Bengaluru",Korean,₹ 2000 for two approx.,25% Off
TAG,4.4,"Indiranagar, East Bengaluru",Andhra,₹ 2000 for two approx.,25% Off
Subz,4.4,"Jayanagar, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Gaia - Global Vegetarian,4.6,"JP Nagar, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Masala Mandi,4.2,"Sarjapur Road, South Bengaluru",Barbeque,₹ 2000 for two approx.,25% Off
Chairman's Restobar,4.5,"Chikkabanavara, North Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Toca,3.9,"Koramangala, South Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off
Nasi And Mee,4.5,"Koramangala, South Bengaluru  | View All(4) Outlets",Asian,₹ 2000 for two approx.,25% Off
Savera Lassi Shop,4.7,"Shivajinagar, Central Bengaluru","Beverages, Ice Cream",₹ 2000 for two approx.,10% Off + 25% Off
My Breakfast,4.0,"Shivajinagar, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Masha Allah Hot And Cool Point,4.0,"Shivajinagar, Central Bengaluru",Fast Food,₹ 2000 for two approx.,10% Off + 25% Off
Tipsy Cafe,4.0,"Shivajinagar, Central Bengaluru",Fast Food,₹ 2000 for two approx.,10% Off + 25% Off
Shahi Restaurant,3.0,"Shivajinagar, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Main Lassi Shop,1.0,"Shivajinagar, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Maggi Baba,5.0,"Shivajinagar, Central Bengaluru",Beverages,₹ 2000 for two approx.,25% Off :Payeazy
Romeo Cafe,4.0,"Shivajinagar, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Dindigul Thalappakatti,4.0,"MG Road, Central Bengaluru  | View All(10) Outlets",Multicuisine,₹ 950 for two approx.,25% Off
Jalebbi,4.6,"Cunningham Road, Central Bengaluru",Indian,₹ 2000 for two approx.,50% Off + 25% Off
ShakesBierre,4.4,"MG Road, Central Bengaluru","Multicuisine, Cocktail Menu",₹ 2000 for two approx.,10% Off + 25% Off
Flo,3.5,"Church Street, Central Bengaluru","Cocktail Menu, Multicuisine",₹ 2000 for two approx.,45% Off + 25% Off
Burnout Cafe,3.9,"Infantry Road, Central Bengaluru  | View All(1) Outlets","Chinese, Multicuisine, Continental",₹ 2000 for two approx.,15% Off + 25% Off
Lumara Bar & Kitchen,4.3,"Old Madras Road, East Bengaluru",Multicuisine,₹ 2500 for two approx.,20% Off + 25% Off
Tiger Trail,4.1,"Regenta Place Cunningham, Bengaluru",Indian,₹ 2000 for two approx.,25% Off + 25% Off
SkyDeck By Sherlock's,4.2,"MG Road, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off + 25% Off
KA 01 - Rooftop Bar & Eats,4.4,"Ibis Hotel, Richmond Road","Indian, Cocktail Menu",₹ 2000 for two approx.,50% Off + 25% Off
Cafe Noir,4.4,"UB City, Central Bengaluru  | View All(8) Outlets",European,₹ 2000 for two approx.,20% Off + 25% Off
Foo Brigade Road,4.5,"Brigade Road, Central Bengaluru","Chinese, Pan Asian, Asian",₹ 2500 for two approx.,Cover Charge + 25% Off
Bazaar,4.0,Zone By The Park Infantry Bengaluru,Multicuisine,₹ 2500 for two approx.,10% Off + 25% Off
Gold Rush Brews,4.3,"Old Madras Road, East Bengaluru",Multicuisine,₹ 2000 for two approx.,50% Off + 25% Off
Smoke House Deli,4.4,"Lavelle Road, Central Bengaluru  | View All(2) Outlets",European,₹ 2000 for two approx.,Free Cocktail or Mocktail + 25% Off
Tiamo,4.4,Conrad Bengaluru,Multicuisine,₹ 2250 for two approx.,15% Off + 25% Off
SodaBottleOpenerWala,4.4,"Lavelle Road, Central Bengaluru",Parsi,₹ 2000 for two approx.,15% Off + 25% Off
Hatti Kaapi - Signature,5.0,"Lavelle Road, Central Bengaluru",Multicuisine,₹ 600 for two approx.,10% Off + 25% Off
By Chance,4.4,"Brigade Road, Central Bengaluru",Multicuisine,₹ 1500 for two approx.,50% Off + 25% Off
No Limmits Lounge & Club,3.5,"Brigade Road, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,30% Off + 25% Off
Punjab Grill,4.1,"Ashok Nagar, Bengaluru  | View All(7) Outlets",North Indian,₹ 2000 for two approx.,25% Off + 25% Off
Fia’s Lounge,4.4,"Richmond Road, Central Bengaluru","European, Parsi",₹ 1500 for two approx.,15% Off + 25% Off
Matsuri,4.6,"The Chancery Hotel, Bengaluru","Sushi, Japanese",₹ 2000 for two approx.,15% Off + 25% Off
Café Azzure,4.2,"MG Road, Central Bengaluru  | View All(4) Outlets",European,₹ 2000 for two approx.,20% Off + 25% Off
The Grill & Cheese Cafe,4.0,"Frazer Town, Central Bengaluru",Continental,₹ 2000 for two approx.,10% Off + 25% Off
JW Kitchen,4.4,"JW Marriott, Bengaluru, Central Bengaluru",Multicuisine,₹ 2500 for two approx.,30% Off + 25% Off
Easy Tiger,4.2,"Church Street, Central Bengaluru","Cocktail Menu, American",₹ 2000 for two approx.,10% Off + 25% Off
The Kabab Studio,3.9,"Goldfinch Hotel, Seshadripuram",North Indian,₹ 2000 for two approx.,50% Off + 25% Off
Hatti Kaapi,4.0,"Infantry Road, Central Bengaluru",Multicuisine,₹ 400 for two approx.,10% Off + 25% Off
Be Luru Craft Kitchen & Bar,4.0,"Sankey Road, North Bengaluru","Asian, Indian",₹ 2000 for two approx.,25% Off + 25% Off
CANTAN - Chinese Bar House,4.5,"Lavelle Road, Central Bengaluru",Chinese,₹ 2000 for two approx.,15% Off + 25% Off
Over Coffee “Restaurant + Wine bar”,4.4,"Lavelle Road, Central Bengaluru",European,₹ 2000 for two approx.,25% Off :Payeazy
Mikusu,4.5,Conrad Bengaluru,"Pan Asian, Asian",₹ 3000 for two approx.,15% Off + 25% Off
Ta'aam,5.0,"Cunningham Road, Central Bengaluru","Arabian, North Indian",₹ 600 for two approx.,25% Off :Payeazy
SMOOR,4.3,"Lavelle Road, Central Bengaluru  | View All(9) Outlets",European,₹ 2000 for two approx.,10% Off + 25% Off
Kling Brewery,4.4,"Church Street, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,10% Off + 25% Off
Badmaash UB City,4.3,"UB City, Central Bengaluru  | View All(4) Outlets",Indian,₹ 2000 for two approx.,15% Off + 25% Off
Maayaa,4.4,"The Courtyard by Sublime, Bengaluru",South Indian,₹ 2000 for two approx.,15% Off + 25% Off
New Kudla Family Restaurant,4.0,"MG Road, Central Bengaluru","Chinese, North Indian",₹ 2000 for two approx.,50% Off + 25% Off
Monarch Cafe,4.0,"Infantry Road, Central Bengaluru",Multicuisine,₹ 2000 for two approx.,25% Off :Payeazy
Cafe Adams,4.0,"Shivajinagar, Central Bengaluru",European,₹ 2000 for two approx.,25% Off :Payeazy
Ihmiets Momos,4.0,"Old Madras Road, East Bengaluru",Momos,₹ 2000 for two approx.,50% Off + 25% Off
Lifetree,5.0,"Ashok Nagar, Bengaluru",Multicuisine,₹ 1000 for two approx.,20% Off + 25% Off
Downtown Taproom,4.6,"Residency Road, Central Bengaluru",Indian,₹ 2000 for two approx.,10% Off + 25% Off
Alchemy,4.5,"The Chancery Pavilion, Bengaluru","Indian, Fusion",₹ 2500 for two approx.,20% Off + 25% Off
Whispers Pub (Big Barn),4.5,"Banashankari, South Bengaluru",Multicuisine,₹ 2000 for two approx.,30% Off + 25% Off
Don't Tell Mama,4.1,"HSR, South Bengaluru",Multicuisine,₹ 2000 for two approx.,50% Off + 25% Off
Levista Gourmet Studio,5.0,"Church Street, Central Bengaluru",American,₹ 2000 for two approx.,20% Off + 25% Off
Chianti,4.2,"MG Road, Central Bengaluru  | View All(7) Outlets","Desserts, Salad, Italian, Pizza, Pasta",₹ 2000 for two approx.,15% Off + 25% Off
Muro India,5.0,"Museum Road, Ashok Nagar, Bengaluru","Thai, Cantonese",₹ 5000 for two approx.,25% Off :Payeazy
Hard Rock Cafe,4.5,"St. Marks Road, Central Bengaluru","Burgers, Multicuisine",₹ 2500 for two approx.,10% Off + 25% Off
Sozo Skyline Dining,4.3,"Ashok Nagar, Bengaluru","Cocktail Menu, Pan Asian",₹ 2000 for two approx.,25% Off + 25% Off
Sana-Di-Ge ,4.4,"Goldfinch Hotel, Seshadripuram","Biryani, Seafood, Regional Indian",₹ 2000 for two approx.,20% Off + 25% Off
